    time     gap  src>dst   cmd   reg   len  ok
   0.050    0.0ms  21>20     65    00    5    ok
   0.050    0.0ms  21>20     64    00    7    ok
   0.050    0.0ms  20>21     64    00    6    ok
   0.050    0.0ms  21>20     65    00    5    ok
   0.102   51.2ms  21>20     65    00    5    ok
   0.102    0.0ms  21>20     65    00    5    ok
   0.152   50.3ms  21>20     65    00    5    ok
   0.152  101.6ms  21>20     64    00    7    ok
   0.152  101.6ms  20>21     64    00    6    ok
   0.152    0.1ms  21>20     65    00    5    ok
   0.205   53.4ms  21>20     65    00    5    ok
   0.205    0.0ms  21>20     65    00    5    ok
   0.257   51.7ms  21>20     65    00    5    ok
   0.257  105.2ms  21>20     64    00    7    ok
   0.257  105.2ms  20>21     64    00    6    ok
   0.257    0.1ms  21>20     65    00    5    ok
   0.309   51.8ms  21>20     65    00    5    ok
   0.309    0.0ms  21>20     65    00    5    ok
   0.309    0.0ms  21>20     65    00    5    ok
   0.362  104.4ms  21>20     64    00    7    ok
   0.362  104.4ms  20>21     64    00    6    ok
   0.362   52.5ms  21>20     65    00    5    ok
   0.412   50.7ms  21>20     65    00    5    ok
   0.412    0.0ms  21>20     65    00    5    ok
   0.412    0.0ms  21>20     65    00    5    ok
   0.464  102.1ms  21>20     64    00    7    ok
   0.464  102.2ms  20>21     64    00    6    ok
   0.464   51.5ms  21>20     65    00    5    ok
   0.515   51.2ms  21>20     65    00    5    ok
   0.515    0.0ms  21>20     65    00    5    ok
   0.515    0.0ms  21>20     65    00    5    ok
   0.569  105.3ms  21>20     64    00    7    ok
   0.569  105.3ms  20>21     64    00    6    ok
   0.569   54.0ms  21>20     65    00    5    ok
   0.622   52.4ms  21>20     65    00    5    ok
   0.622    0.0ms  21>20     65    00    5    ok
   0.622    0.0ms  21>20     65    00    5    ok
   0.672  103.2ms  21>20     64    00    7    ok
   0.672  103.2ms  20>21     64    00    6    ok
   0.672   50.7ms  21>20     65    00    5    ok
   0.672    0.0ms  21>20     65    00    5    ok
   0.724   52.1ms  21>20     65    00    5    ok
   0.724    0.0ms  21>20     65    00    5    ok
   0.775  102.4ms  21>20     64    00    7    ok
   0.775  102.4ms  20>21     64    00    6    ok
   0.775   50.3ms  21>20     65    00    5    ok
   0.775    0.0ms  21>20     65    00    5    ok
   0.828   53.7ms  21>20     65    00    5    ok
   0.828    0.0ms  21>20     65    00    5    ok
   0.880  105.2ms  21>20     64    00    7    ok
   0.880  105.3ms  20>21     64    00    6    ok
   0.880   51.6ms  21>20     65    00    5    ok
   0.880    0.0ms  21>20     65    00    5    ok
   0.930   50.5ms  21>20     65    00    5    ok
   0.931    0.0ms  21>20     65    00    5    ok
   0.931   50.7ms  21>20     64    00    7    ok
   0.983  103.3ms  20>21     64    00    6    ok
   0.983   52.8ms  21>20     65    00    5    ok
   0.983    0.0ms  21>20     65    00    5    ok
   1.034   50.9ms  21>20     65    00    5    ok
   1.034    0.0ms  21>20     65    00    5    ok
   1.034  103.7ms  21>20     64    00    7    ok
   1.085  102.1ms  20>21     64    00    6    ok
   1.085   51.2ms  21>20     65    00    5    ok
   1.085    0.0ms  21>20     65    00    5    ok
   1.136   50.9ms  21>20     65    00    5    ok
   1.136    0.0ms  21>20     65    00    5    ok
   1.136  102.1ms  21>20     64    00    7    ok
   1.190  105.1ms  20>21     64    00    6    ok
   1.191   54.2ms  21>20     65    00    5    ok
   1.191    0.0ms  21>20     65    00    5    ok
   1.191    0.0ms  21>20     65    00    5    ok
   1.242   51.0ms  21>20     65    00    5    ok
   1.242  105.3ms  21>20     64    00    7    ok
   1.242   51.1ms  20>21     64    00    6    ok
   1.292   50.5ms  21>20     65    00    5    ok
   1.292    0.0ms  21>20     65    00    5    ok
   1.292    0.0ms  21>20     65    00    5    ok
   1.342   50.3ms  21>20     65    00    5    ok
   1.342  100.8ms  21>20     64    00    7    ok
   1.342  100.8ms  20>21     64    00    6    ok
   1.393   50.4ms  21>20     65    00    5    ok
   1.393    0.0ms  21>20     65    00    5    ok
   1.393    0.0ms  21>20     65    00    5    ok
   1.444   50.8ms  21>20     65    00    5    ok
   1.444  101.2ms  21>20     64    00    7    ok
   1.444  101.2ms  20>21     64    00    6    ok
   1.494   50.3ms  21>20     65    00    5    ok
   1.494    0.0ms  21>20     65    00    5    ok
   1.494    0.0ms  21>20     65    00    5    ok
   1.546   51.9ms  21>20     65    00    5    ok
   1.546  102.2ms  21>20     64    00    7    ok
   1.546  102.2ms  20>21     64    00    6    ok
   1.597   50.7ms  21>20     65    00    5    ok
   1.597    0.0ms  21>20     65    00    5    ok
   1.597    0.0ms  21>20     65    00    5    ok
   1.647   50.3ms  21>20     65    00    5    ok
   1.647  101.1ms  21>20     64    00    7    ok
   1.647  101.1ms  20>21     64    00    6    ok
   1.698   51.0ms  21>20     65    00    5    ok
   1.698    0.0ms  21>20     65    00    5    ok
   1.698    0.0ms  21>20     65    00    5    ok
   1.750   52.1ms  21>20     65    00    5    ok
   1.750  103.2ms  21>20     64    00    7    ok
   1.750  103.2ms  20>21     64    00    6    ok
   1.801   51.0ms  21>20     65    00    5    ok
   1.801    0.0ms  21>20     65    00    5    ok
   1.801    0.0ms  21>20     65    00    5    ok
   1.851   50.2ms  21>20     65    00    5    ok
   1.851  101.2ms  21>20     64    00    7    ok
   1.851  101.2ms  20>21     64    00    6    ok
   1.851    0.1ms  21>20     65    00    5    ok
   1.904   52.7ms  21>20     65    00    5    ok
   1.904    0.1ms  21>20     65    00    5    ok
   1.955   50.9ms  21>20     65    00    5    ok
   1.955  103.8ms  21>20     64    00    7    ok
   1.955  103.8ms  20>21     64    00    6    ok
   1.955    0.1ms  21>20     65    00    5    ok
   2.009   53.6ms  21>20     65    00    5    ok
   2.009    0.0ms  21>20     65    00    5    ok
