    time     gap  src>dst   cmd   reg   len  ok
   0.053    0.0ms  21>20     65    00    5    ok
   0.053    0.0ms  21>20     64    00    7    ok
   0.053    0.0ms  20>21     64    00    6    ok
   0.105   52.6ms  21>20     65    00    5    ok
   0.105    0.0ms  21>20     65    00    5    ok
   0.105    0.0ms  21>20     65    00    5    ok
   0.156   50.7ms  21>20     65    00    5    ok
   0.156  103.3ms  21>20     64    00    7    ok
   0.156  103.3ms  20>21     64    00    6    ok
   0.156    0.0ms  21>20     65    00    5    ok
   0.208   51.9ms  21>20     65    00    5    ok
   0.208    0.1ms  21>20     65    00    5    ok
   0.259   50.6ms  21>20     65    00    5    ok
   0.259  102.5ms  21>20     64    00    7    ok
   0.259  102.5ms  20>21     64    00    6    ok
   0.259    0.0ms  21>20     65    00    5    ok
   0.312   53.2ms  21>20     65    00    5    ok
   0.312    0.0ms  21>20     65    00    5    ok
   0.363   50.7ms  21>20     65    00    5    ok
   0.363  104.0ms  21>20     64    00    7    ok
   0.363  104.0ms  20>21     64    00    6    ok
   0.363    0.0ms  21>20     65    00    5    ok
   0.413   50.8ms  21>20     65    00    5    ok
   0.413    0.0ms  21>20     65    00    5    ok
   0.413    0.0ms  21>20     65    00    5    ok
   0.464  101.8ms  21>20     64    00    7    ok
   0.464  101.8ms  20>21     64    00    6    ok
   0.464   51.0ms  21>20     65    00    5    ok
   0.515   50.3ms  21>20     65    00    5    ok
   0.515    0.1ms  21>20     65    00    5    ok
   0.515    0.0ms  21>20     65    00    5    ok
   0.568  103.4ms  21>20     64    00    7    ok
   0.568  103.5ms  20>21     64    00    6    ok
   0.568   53.1ms  21>20     65    00    5    ok
   0.619   51.2ms  21>20     65    00    5    ok
   0.619    0.1ms  21>20     65    00    5    ok
   0.619    0.0ms  21>20     65    00    5    ok
   0.672  103.9ms  21>20     64    00    7    ok
   0.672  103.9ms  20>21     64    00    6    ok
   0.672   52.6ms  21>20     65    00    5    ok
   0.722   50.1ms  21>20     65    00    5    ok
   0.722    0.1ms  21>20     65    00    5    ok
   0.722    0.0ms  21>20     65    00    5    ok
   0.773  101.3ms  21>20     64    00    7    ok
   0.773  101.3ms  20>21     64    00    6    ok
   0.773   51.2ms  21>20     65    00    5    ok
   0.825   51.6ms  21>20     65    00    5    ok
   0.825    0.0ms  21>20     65    00    5    ok
   0.825    0.0ms  21>20     65    00    5    ok
   0.876  102.8ms  21>20     64    00    7    ok
   0.876  102.8ms  20>21     64    00    6    ok
   0.876   51.0ms  21>20     65    00    5    ok
   0.876    0.0ms  21>20     65    00    5    ok
   0.929   52.9ms  21>20     65    00    5    ok
   0.929    0.1ms  21>20     65    00    5    ok
   0.979  103.3ms  21>20     64    00    7    ok
   0.979  103.3ms  20>21     64    00    6    ok
   0.979   50.3ms  21>20     65    00    5    ok
   0.979    0.0ms  21>20     65    00    5    ok
   1.032   53.0ms  21>20     65    00    5    ok
   1.032    0.0ms  21>20     65    00    5    ok
   1.083  104.2ms  21>20     64    00    7    ok
   1.083  104.2ms  20>21     64    00    6    ok
   1.083   51.2ms  21>20     65    00    5    ok
   1.084    0.2ms  21>20     65    00    5    ok
   1.135   50.9ms  21>20     65    00    5    ok
   1.135    0.0ms  21>20     65    00    5    ok
   1.135   51.3ms  21>20     64    00    7    ok
   1.187  103.9ms  20>21     64    00    6    ok
   1.187   52.7ms  21>20     65    00    5    ok
   1.187    0.0ms  21>20     65    00    5    ok
   1.238   50.9ms  21>20     65    00    5    ok
   1.238    0.3ms  21>20     65    00    5    ok
   1.238  103.9ms  21>20     64    00    7    ok
   1.289  102.0ms  20>21     64    00    6    ok
   1.289   50.8ms  21>20     65    00    5    ok
   1.289    0.0ms  21>20     65    00    5    ok
   1.339   50.2ms  21>20     65    00    5    ok
   1.340    0.0ms  21>20     65    00    5    ok
   1.340  101.0ms  21>20     64    00    7    ok
   1.340   50.3ms  20>21     64    00    6    ok
   1.393   53.7ms  21>20     65    00    5    ok
   1.393    0.0ms  21>20     65    00    5    ok
   1.444   50.4ms  21>20     65    00    5    ok
   1.444    0.0ms  21>20     65    00    5    ok
   1.444  104.2ms  21>20     64    00    7    ok
   1.444  104.2ms  20>21     64    00    6    ok
   1.495   51.3ms  21>20     65    00    5    ok
   1.495    0.0ms  21>20     65    00    5    ok
   1.495    0.0ms  21>20     65    00    5    ok
   1.546   50.6ms  21>20     65    00    5    ok
   1.546  102.0ms  21>20     64    00    7    ok
   1.546  102.0ms  20>21     64    00    6    ok
   1.596   50.3ms  21>20     65    00    5    ok
