    time     gap  src>dst   cmd   reg   len  ok
   0.053    0.0ms  21>20     64    00    7    ok
   0.054    0.0ms  20>21     64    00    6    ok
   0.054    0.0ms  21>20     65    00    5    ok
   0.105   51.1ms  21>20     65    00    5    ok
   0.105    0.0ms  21>20     65    00    5    ok
   0.105    0.0ms  21>20     65    00    5    ok
   0.157  103.5ms  21>20     64    00    7    ok
   0.157  103.5ms  20>21     64    00    6    ok
   0.157   52.3ms  21>20     65    00    5    ok
   0.157    0.0ms  21>20     65    00    5    ok
   0.209   52.3ms  21>20     65    00    5    ok
   0.209    0.0ms  21>20     65    00    5    ok
   0.260  103.1ms  21>20     64    00    7    ok
   0.260  103.1ms  20>21     64    00    6    ok
   0.260   50.7ms  21>20     65    00    5    ok
   0.260    0.0ms  21>20     65    00    5    ok
   0.313   52.4ms  21>20     65    00    5    ok
   0.313    0.0ms  21>20     65    00    5    ok
   0.363  102.8ms  21>20     64    00    7    ok
   0.363  102.8ms  20>21     64    00    6    ok
   0.363   50.4ms  21>20     65    00    5    ok
   0.363    0.0ms  21>20     65    00    5    ok
   0.415   52.3ms  21>20     65    00    5    ok
   0.415    0.0ms  21>20     65    00    5    ok
   0.466  102.6ms  21>20     64    00    7    ok
   0.466  102.7ms  20>21     64    00    6    ok
   0.466   50.3ms  21>20     65    00    5    ok
   0.466    0.0ms  21>20     65    00    5    ok
   0.517   51.5ms  21>20     65    00    5    ok
   0.517    0.0ms  21>20     65    00    5    ok
   0.568  102.6ms  21>20     64    00    7    ok
   0.568  102.6ms  20>21     64    00    6    ok
   0.568   51.1ms  21>20     65    00    5    ok
   0.568    0.0ms  21>20     65    00    5    ok
   0.618   50.2ms  21>20     65    00    5    ok
   0.618    0.0ms  21>20     65    00    5    ok
   0.619   50.4ms  21>20     64    00    7    ok
   0.671  102.6ms  20>21     64    00    6    ok
   0.671   52.3ms  21>20     65    00    5    ok
   0.671    0.0ms  21>20     65    00    5    ok
   0.722   50.8ms  21>20     65    00    5    ok
   0.722    0.0ms  21>20     65    00    5    ok
   0.722  103.2ms  21>20     64    00    7    ok
   0.772  101.3ms  20>21     64    00    6    ok
   0.772   50.4ms  21>20     65    00    5    ok
   0.772    0.0ms  21>20     65    00    5    ok
   0.822   50.3ms  21>20     65    00    5    ok
   0.822    0.0ms  21>20     65    00    5    ok
   0.822  100.7ms  21>20     64    00    7    ok
   0.822   50.4ms  20>21     64    00    6    ok
   0.875   52.1ms  21>20     65    00    5    ok
   0.875    0.0ms  21>20     65    00    5    ok
   0.925   50.3ms  21>20     65    00    5    ok
   0.925    0.1ms  21>20     65    00    5    ok
   0.925  102.6ms  21>20     64    00    7    ok
   0.925  102.6ms  20>21     64    00    6    ok
   0.977   51.8ms  21>20     65    00    5    ok
   0.977    0.0ms  21>20     65    00    5    ok
   1.027   50.4ms  21>20     65    00    5    ok
   1.027    0.0ms  21>20     65    00    5    ok
   1.027  102.3ms  21>20     64    00    7    ok
   1.027  102.3ms  20>21     64    00    6    ok
